Sepal Length Summary Stats,Setosa,Versicolor,Virginica
count,50.0,50.0,50.0
mean,5.01,5.94,6.59
std,0.35,0.52,0.64
min,4.3,4.9,4.9
25%,4.8,5.6,6.22
50%,5.0,5.9,6.5
75%,5.2,6.3,6.9
max,5.8,7.0,7.9
Sepal Width Summary Stats,Setosa,Versicolor,Virginica
count,50.0,50.0,50.0
mean,3.42,2.77,2.97
std,0.38,0.31,0.32
min,2.3,2.0,2.2
25%,3.12,2.52,2.8
50%,3.4,2.8,3.0
75%,3.68,3.0,3.18
max,4.4,3.4,3.8
Petal Length Summary Stats,Setosa,Versicolor,Virginica
count,50.0,50.0,50.0
mean,1.46,4.26,5.55
std,0.17,0.47,0.55
min,1.0,3.0,4.5
25%,1.4,4.0,5.1
50%,1.5,4.35,5.55
75%,1.58,4.6,5.88
max,1.9,5.1,6.9
Petal Width Summary Stats,Setosa,Versicolor,Virginica
count,50.0,50.0,50.0
mean,0.24,1.33,2.03
std,0.11,0.2,0.27
min,0.1,1.0,1.4
25%,0.2,1.2,1.8
50%,0.2,1.3,2.0
75%,0.3,1.5,2.3
max,0.6,1.8,2.5
